class,precision,recall,f1_score,support,true_positives,false_positives,false_negatives
access_aisle,0.9859154929577465,0.958904109589041,0.9722222222222222,365,350,4,15
parking_space,0.997134670487106,0.9775280898876404,0.9872340425531915,356,348,1,7
