class,precision,recall,f1_score,support,true_positives,false_positives,false_negatives
access_aisle,0.9573002754820936,0.9652777777777778,0.9612724757952974,720,695,31,25
parking_space,1.0,0.9943342776203966,0.9971590909090908,706,702,0,4
