class,precision,recall,f1_score,support,true_positives,false_positives,false_negatives
access_aisle,0.9565826330532213,0.9646892655367232,0.960618846694796,708,683,31,25
parking_space,1.0,0.9942446043165467,0.9971139971139971,695,691,0,4
