class,precision,recall,f1_score,support,true_positives,false_positives,false_negatives
access_aisle,0.9661495063469676,0.9675141242937854,0.9668313338038109,708,685,24,23
parking_space,0.9985549132947977,0.9942446043165467,0.996395097332372,695,691,1,4
