epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.912,1.63831,2.81394,1.95815,0.68,0.28786,0.26751,0.19375,1.03992,1.32707,1.92984,0.000275683,0.000275683,0.000275683
2,57.9955,1.15324,1.26775,1.7446,0.56358,0.4007,0.34835,0.25724,1.01703,1.16275,1.92211,0.000550611,0.000550611,0.000550611
3,80.8388,1.10525,1.17621,1.75227,0.58078,0.42771,0.42983,0.30828,1.01228,1.10268,1.92284,0.00082279,0.00082279,0.00082279
4,103.469,1.0758,1.13416,1.73414,0.58499,0.49114,0.4952,0.3726,0.91442,0.95537,1.90061,0.00082063,0.00082063,0.00082063
5,126.479,1.02428,1.07228,1.67284,0.6002,0.51266,0.51479,0.3967,0.87291,0.89345,1.84055,0.000816507,0.000816507,0.000816507
6,149.451,1.00329,1.02755,1.69141,0.65467,0.49602,0.53436,0.41624,0.84828,0.8761,1.907,0.000812383,0.000812383,0.000812383
7,172.425,0.97825,1.00423,1.65896,0.76763,0.42343,0.47292,0.36526,0.86764,0.88217,1.85253,0.00080826,0.00080826,0.00080826
8,194.816,0.96902,0.99487,1.66542,0.75296,0.47403,0.53945,0.42368,0.8491,0.84135,1.80614,0.000804137,0.000804137,0.000804137
9,217.186,0.94506,0.96193,1.66151,0.88233,0.43761,0.54139,0.42199,0.84197,0.81314,1.79223,0.000800013,0.000800013,0.000800013
10,239.336,0.93058,0.93331,1.64595,0.70368,0.49713,0.54675,0.43,0.8418,0.81631,1.87706,0.00079589,0.00079589,0.00079589
11,261.449,0.93808,0.93621,1.6527,0.70306,0.51789,0.55732,0.43504,0.8316,0.78679,1.82668,0.000791767,0.000791767,0.000791767
12,283.589,0.93308,0.94101,1.66491,0.68048,0.53068,0.57691,0.45171,0.82121,0.79486,1.83616,0.000787643,0.000787643,0.000787643
13,305.643,0.92232,0.91694,1.62792,0.73092,0.49117,0.54499,0.43543,0.82745,0.82697,1.85912,0.00078352,0.00078352,0.00078352
14,327.648,0.89919,0.88407,1.61488,0.71286,0.51403,0.56182,0.44421,0.8363,0.79645,1.81335,0.000779396,0.000779396,0.000779396
15,349.617,0.89838,0.8851,1.61967,0.69718,0.51573,0.59276,0.46984,0.79641,0.7841,1.79672,0.000775273,0.000775273,0.000775273
16,372.161,0.87477,0.87524,1.62007,0.73549,0.56355,0.60303,0.48606,0.82936,0.80411,1.81476,0.00077115,0.00077115,0.00077115
17,394.594,0.88052,0.86459,1.57809,0.764,0.42348,0.54029,0.43248,0.79186,0.80749,1.84606,0.000767026,0.000767026,0.000767026
18,417.096,0.86815,0.85655,1.60155,0.7412,0.53042,0.57084,0.45773,0.77909,0.7636,1.80285,0.000762903,0.000762903,0.000762903
19,439.773,0.8573,0.85556,1.59405,0.72828,0.55201,0.59436,0.48512,0.77911,0.75289,1.82758,0.00075878,0.00075878,0.00075878
20,462.829,0.86917,0.84865,1.58879,0.7333,0.48925,0.56778,0.45721,0.79047,0.75286,1.79828,0.000754656,0.000754656,0.000754656
21,485.943,0.84538,0.83756,1.56831,0.71409,0.51113,0.57257,0.45048,0.78797,0.74238,1.8077,0.000750533,0.000750533,0.000750533
