class,precision,recall,f1_score,support,true_positives,false_positives,false_negatives
access_aisle,0.969187675070028,0.9774011299435028,0.9732770745428975,708,692,22,16
parking_space,1.0,0.9942446043165467,0.9971139971139971,695,691,0,4
