class,precision,recall,f1_score,support,true_positives,false_positives,false_negatives
access_aisle,0.9368131868131868,0.9266304347826086,0.9316939890710383,368,341,23,27
parking_space,0.9605633802816902,0.9578651685393258,0.9592123769338959,356,341,14,15
