epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,900.177,0.90532,0.91955,0.96495,0.67688,0.58532,0.69077,0.56802,0.76667,0.80093,0.97471,0.007921,0.007921,0.007921
44,920.898,0.87612,0.89432,0.95859,0.70477,0.72017,0.68583,0.54925,0.78384,0.79688,0.99332,0.0078715,0.0078715,0.0078715
45,941.688,0.87909,0.89925,0.95324,0.71903,0.69874,0.69285,0.55537,0.79043,0.7975,0.98579,0.007822,0.007822,0.007822
46,962.392,0.87907,0.90669,0.95468,0.71377,0.65442,0.70503,0.5653,0.76166,0.77373,0.97892,0.0077725,0.0077725,0.0077725
47,983.156,0.87712,0.8822,0.95728,0.6983,0.65308,0.67313,0.54577,0.76105,0.79078,0.97463,0.007723,0.007723,0.007723
48,1003.91,0.88588,0.90673,0.95321,0.72586,0.64458,0.69966,0.56505,0.77236,0.78734,0.98199,0.0076735,0.0076735,0.0076735
49,1024.67,0.86688,0.89886,0.94858,0.75657,0.69306,0.73313,0.59583,0.77577,0.78348,0.97631,0.007624,0.007624,0.007624
50,1045.42,0.86324,0.87268,0.95018,0.77342,0.64714,0.70049,0.56539,0.79978,0.76617,1.00035,0.0075745,0.0075745,0.0075745
51,1066.19,0.85246,0.85215,0.9474,0.69119,0.72869,0.69108,0.55858,0.77194,0.78023,0.98954,0.007525,0.007525,0.007525
52,1086.92,0.86396,0.87445,0.9477,0.68679,0.71324,0.66823,0.53796,0.78505,0.77735,0.99003,0.0074755,0.0074755,0.0074755
53,1107.68,0.84491,0.83807,0.93851,0.69751,0.68673,0.68304,0.55788,0.74397,0.76717,0.96719,0.007426,0.007426,0.007426
54,1128.45,0.83499,0.84422,0.93763,0.73472,0.69063,0.70366,0.57838,0.75506,0.76291,0.97444,0.0073765,0.0073765,0.0073765
