,idd,zoom,xtile,ytile,topleft_x,topleft_y,bottomright_x,bottomright_y
id0,0,20,167927,366144,-122.34683990478516,47.62097541515848,-122.34649658203125,47.620744004123445
id1,1,20,167927,366145,-122.34683990478516,47.620744004123445,-122.34649658203125,47.62051259206408
id2,2,20,167927,366146,-122.34683990478516,47.62051259206408,-122.34649658203125,47.62028117898041
id3,3,20,167927,366147,-122.34683990478516,47.62028117898041,-122.34649658203125,47.62004976487242
id4,4,20,167927,366148,-122.34683990478516,47.62004976487242,-122.34649658203125,47.61981834974012
id5,5,20,167927,366149,-122.34683990478516,47.61981834974012,-122.34649658203125,47.619586933583506
id6,6,20,167928,366144,-122.34649658203125,47.62097541515848,-122.34615325927734,47.620744004123445
id7,7,20,167928,366145,-122.34649658203125,47.620744004123445,-122.34615325927734,47.62051259206408
id8,8,20,167928,366146,-122.34649658203125,47.62051259206408,-122.34615325927734,47.62028117898041
id9,9,20,167928,366147,-122.34649658203125,47.62028117898041,-122.34615325927734,47.62004976487242
id10,10,20,167928,366148,-122.34649658203125,47.62004976487242,-122.34615325927734,47.61981834974012
id11,11,20,167928,366149,-122.34649658203125,47.61981834974012,-122.34615325927734,47.619586933583506
id12,12,20,167929,366144,-122.34615325927734,47.62097541515848,-122.34580993652344,47.620744004123445
id13,13,20,167929,366145,-122.34615325927734,47.620744004123445,-122.34580993652344,47.62051259206408
id14,14,20,167929,366146,-122.34615325927734,47.62051259206408,-122.34580993652344,47.62028117898041
id15,15,20,167929,366147,-122.34615325927734,47.62028117898041,-122.34580993652344,47.62004976487242
id16,16,20,167929,366148,-122.34615325927734,47.62004976487242,-122.34580993652344,47.61981834974012
id17,17,20,167929,366149,-122.34615325927734,47.61981834974012,-122.34580993652344,47.619586933583506
id18,18,20,167930,366144,-122.34580993652344,47.62097541515848,-122.34546661376953,47.620744004123445
id19,19,20,167930,366145,-122.34580993652344,47.620744004123445,-122.34546661376953,47.62051259206408
id20,20,20,167930,366146,-122.34580993652344,47.62051259206408,-122.34546661376953,47.62028117898041
id21,21,20,167930,366147,-122.34580993652344,47.62028117898041,-122.34546661376953,47.62004976487242
id22,22,20,167930,366148,-122.34580993652344,47.62004976487242,-122.34546661376953,47.61981834974012
id23,23,20,167930,366149,-122.34580993652344,47.61981834974012,-122.34546661376953,47.619586933583506
id24,24,20,167931,366144,-122.34546661376953,47.62097541515848,-122.34512329101562,47.620744004123445
id25,25,20,167931,366145,-122.34546661376953,47.620744004123445,-122.34512329101562,47.62051259206408
id26,26,20,167931,366146,-122.34546661376953,47.62051259206408,-122.34512329101562,47.62028117898041
id27,27,20,167931,366147,-122.34546661376953,47.62028117898041,-122.34512329101562,47.62004976487242
id28,28,20,167931,366148,-122.34546661376953,47.62004976487242,-122.34512329101562,47.61981834974012
id29,29,20,167931,366149,-122.34546661376953,47.61981834974012,-122.34512329101562,47.619586933583506
id30,30,20,167932,366144,-122.34512329101562,47.62097541515848,-122.34477996826172,47.620744004123445
id31,31,20,167932,366145,-122.34512329101562,47.620744004123445,-122.34477996826172,47.62051259206408
id32,32,20,167932,366146,-122.34512329101562,47.62051259206408,-122.34477996826172,47.62028117898041
id33,33,20,167932,366147,-122.34512329101562,47.62028117898041,-122.34477996826172,47.62004976487242
id34,34,20,167932,366148,-122.34512329101562,47.62004976487242,-122.34477996826172,47.61981834974012
id35,35,20,167932,366149,-122.34512329101562,47.61981834974012,-122.34477996826172,47.619586933583506
id36,36,20,167933,366144,-122.34477996826172,47.62097541515848,-122.34443664550781,47.620744004123445
id37,37,20,167933,366145,-122.34477996826172,47.620744004123445,-122.34443664550781,47.62051259206408
id38,38,20,167933,366146,-122.34477996826172,47.62051259206408,-122.34443664550781,47.62028117898041
id39,39,20,167933,366147,-122.34477996826172,47.62028117898041,-122.34443664550781,47.62004976487242
id40,40,20,167933,366148,-122.34477996826172,47.62004976487242,-122.34443664550781,47.61981834974012
id41,41,20,167933,366149,-122.34477996826172,47.61981834974012,-122.34443664550781,47.619586933583506
id42,42,20,167934,366144,-122.34443664550781,47.62097541515848,-122.3440933227539,47.620744004123445
id43,43,20,167934,366145,-122.34443664550781,47.620744004123445,-122.3440933227539,47.62051259206408
id44,44,20,167934,366146,-122.34443664550781,47.62051259206408,-122.3440933227539,47.62028117898041
id45,45,20,167934,366147,-122.34443664550781,47.62028117898041,-122.3440933227539,47.62004976487242
id46,46,20,167934,366148,-122.34443664550781,47.62004976487242,-122.3440933227539,47.61981834974012
id47,47,20,167934,366149,-122.34443664550781,47.61981834974012,-122.3440933227539,47.619586933583506
