class,precision,recall,f1_score,support,true_positives,false_positives,false_negatives
access_aisle,0.9746121297602257,0.9759887005649718,0.9752999294283697,708,691,18,17
parking_space,1.0,0.99568345323741,0.9978370583994233,695,692,0,3
