block_id,point_count,BLOCKCE20,TRACT_ID,TRACT_ID,TRACT_ID,TRACT_ID
530330053032000,176,2000,53033005303,53033005303,53033005303,53033005303
530330040001003,174,1003,53033004000,53033004000,53033004000,53033004000
530330043011010,169,1010,53033004301,53033004301,53033004301,53033004301
530330058041009,71,1009,53033005804,53033005804,53033005804,53033005804
530330047033026,69,3026,53033004703,53033004703,53033004703,53033004703
530330032012000,68,2000,53033003201,53033003201,53033003201,53033003201
530330058014000,63,4000,53033005801,53033005801,53033005801,53033005801
530330058014030,59,4030,53033005801,53033005801,53033005801,53033005801
530330035003000,55,3000,53033003500,53033003500,53033003500,53033003500
530330058041032,46,1032,53033005804,53033005804,53033005804,53033005804
530330053031015,46,1015,53033005303,53033005303,53033005303,53033005303
530330047012006,45,2006,53033004701,53033004701,53033004701,53033004701
530330067012001,45,2001,53033006701,53033006701,53033006701,53033006701
530330041022007,44,2007,53033004102,53033004102,53033004102,53033004102
530330086003001,36,3001,53033008600,53033008600,53033008600,53033008600
530330058041002,34,1002,53033005804,53033005804,53033005804,53033005804
530330058041016,33,1016,53033005804,53033005804,53033005804,53033005804
530330047012002,33,2002,53033004701,53033004701,53033004701,53033004701
530330059011001,33,1001,53033005901,53033005901,53033005901,53033005901
530330039001004,33,1004,53033003900,53033003900,53033003900,53033003900
530330053032012,31,2012,53033005303,53033005303,53033005303,53033005303
530330034001007,29,1007,53033003400,53033003400,53033003400,53033003400
530330042012008,28,2008,53033004201,53033004201,53033004201,53033004201
530330058014036,26,4036,53033005801,53033005801,53033005801,53033005801
530330057001013,26,1013,53033005700,53033005700,53033005700,53033005700
530330063002001,26,2001,53033006300,53033006300,53033006300,53033006300
530330058041007,26,1007,53033005804,53033005804,53033005804,53033005804
530330060004005,26,4005,53033006000,53033006000,53033006000,53033006000
530330041021008,26,1008,53033004102,53033004102,53033004102,53033004102
530330071012001,25,2001,53033007101,53033007101,53033007101,53033007101
530330043021009,24,1009,53033004302,53033004302,53033004302,53033004302
530330053061004,24,1004,53033005306,53033005306,53033005306,53033005306
530330047013004,24,3004,53033004701,53033004701,53033004701,53033004701
530330066003009,23,3009,53033006600,53033006600,53033006600,53033006600
530330058041023,22,1023,53033005804,53033005804,53033005804,53033005804
530330062002002,22,2002,53033006200,53033006200,53033006200,53033006200
530330054012011,22,2011,53033005401,53033005401,53033005401,53033005401
530330072032004,22,2004,53033007203,53033007203,53033007203,53033007203
530330032012002,22,2002,53033003201,53033003201,53033003201,53033003201
530330067013001,21,3001,53033006701,53033006701,53033006701,53033006701
530330067013002,21,3002,53033006701,53033006701,53033006701,53033006701
530330080042001,21,2001,53033008004,53033008004,53033008004,53033008004
530330060001001,21,1001,53033006000,53033006000,53033006000,53033006000
530330058041028,20,1028,53033005804,53033005804,53033005804,53033005804
530330047022001,20,2001,53033004702,53033004702,53033004702,53033004702
530330040001004,19,1004,53033004000,53033004000,53033004000,53033004000
530330057002010,19,2010,53033005700,53033005700,53033005700,53033005700
530330058041024,19,1024,53033005804,53033005804,53033005804,53033005804
530330049022012,18,2012,53033004902,53033004902,53033004902,53033004902
530330046001008,18,1008,53033004600,53033004600,53033004600,53033004600
530330073022007,18,2007,53033007302,53033007302,53033007302,53033007302
530330019004003,17,4003,53033001900,53033001900,53033001900,53033001900
530330084011001,17,1001,53033008401,53033008401,53033008401,53033008401
530330068003008,17,3008,53033006800,53033006800,53033006800,53033006800
530330018001003,17,1003,53033001800,53033001800,53033001800,53033001800
530330042011014,17,1014,53033004201,53033004201,53033004201,53033004201
530330053031006,17,1006,53033005303,53033005303,53033005303,53033005303
530330041022000,16,2000,53033004102,53033004102,53033004102,53033004102
530330027004014,16,4014,53033002700,53033002700,53033002700,53033002700
530330059012000,16,2000,53033005901,53033005901,53033005901,53033005901
530330042011000,16,1000,53033004201,53033004201,53033004201,53033004201
530330088002008,16,2008,53033008800,53033008800,53033008800,53033008800
530330053032013,15,2013,53033005303,53033005303,53033005303,53033005303
530330019004012,15,4012,53033001900,53033001900,53033001900,53033001900
530330035001020,15,1020,53033003500,53033003500,53033003500,53033003500
530330066001019,15,1019,53033006600,53033006600,53033006600,53033006600
530330058041004,15,1004,53033005804,53033005804,53033005804,53033005804
530330072032014,14,2014,53033007203,53033007203,53033007203,53033007203
530330017011014,14,1014,53033001701,53033001701,53033001701,53033001701
530330052013005,14,3005,53033005201,53033005201,53033005201,53033005201
530330053062003,14,2003,53033005306,53033005306,53033005306,53033005306
