block_id,point_count,BLOCKCE20
530330053032000,176,2000
530330040001003,174,1003
530330043011010,169,1010
530330058041009,71,1009
530330047033026,69,3026
530330032012000,68,2000
530330058014000,63,4000
530330058014030,59,4030
530330035003000,55,3000
530330058041032,46,1032
530330053031015,46,1015
530330047012006,45,2006
530330067012001,45,2001
530330041022007,44,2007
530330086003001,36,3001
530330058041002,34,1002
530330058041016,33,1016
530330047012002,33,2002
530330059011001,33,1001
530330039001004,33,1004
530330053032012,31,2012
530330034001007,29,1007
530330042012008,28,2008
530330058014036,26,4036
530330057001013,26,1013
530330063002001,26,2001
530330058041007,26,1007
530330060004005,26,4005
530330041021008,26,1008
530330071012001,25,2001
530330043021009,24,1009
530330053061004,24,1004
530330047013004,24,3004
530330066003009,23,3009
530330058041023,22,1023
530330062002002,22,2002
530330054012011,22,2011
530330072032004,22,2004
530330032012002,22,2002
530330067013001,21,3001
530330067013002,21,3002
530330080042001,21,2001
530330060001001,21,1001
530330058041028,20,1028
530330047022001,20,2001
530330040001004,19,1004
530330057002010,19,2010
530330058041024,19,1024
530330049022012,18,2012
530330046001008,18,1008
530330073022007,18,2007
530330019004003,17,4003
530330084011001,17,1001
530330068003008,17,3008
530330018001003,17,1003
530330042011014,17,1014
530330053031006,17,1006
530330041022000,16,2000
530330027004014,16,4014
530330059012000,16,2000
530330042011000,16,1000
530330088002008,16,2008
530330053032013,15,2013
530330019004012,15,4012
530330035001020,15,1020
530330066001019,15,1019
530330058041004,15,1004
530330072032014,14,2014
530330017011014,14,1014
530330052013005,14,3005
530330053062003,14,2003
530330022004007,14,4007
530330047013006,14,3006
530330016003012,13,3012
530330085001004,13,1004
530330017011015,13,1015
530330071012003,13,2003
530330057001019,13,1019
530330070013004,13,3004
530330046001000,13,1000
530330058014001,13,4001
530330025002012,13,2012
530330060004016,13,4016
530330045001014,13,1014
530330073032002,13,2002
530330054012002,13,2002
530330053052006,13,2006
530330018002013,13,2013
530330030002004,13,2004
530330053061005,13,1005
530330044012019,13,2019
530330066001014,12,1014
530330067013007,12,3007
530330047033028,12,3028
530330081022006,12,2006
530330054013024,12,3024
530330060004004,12,4004
530330053032009,12,2009
530330052021002,12,1002
530330047032016,12,2016
530330058041026,12,1026
530330031001016,12,1016
530330085002013,11,2013
530330079021005,11,1005
530330017021009,11,1009
530330075032000,11,2000
530330087001022,11,1022
530330013003023,11,3023
530330066001023,11,1023
530330040001018,11,1018
530330041013002,11,3002
530330040001006,11,1006
530330018002003,11,2003
530330053051000,11,1000
530330063001023,11,1023
530330072032011,11,2011
530330087001010,10,1010
530330053032021,10,2021
530330038001000,10,1000
530330017012015,10,2015
530330016003014,10,3014
530330042021019,10,1019
530330053031007,10,1007
530330053061008,10,1008
530330054012005,10,2005
530330071022001,10,2001
530330053071002,10,1002
530330072032016,10,2016
530330060004009,10,4009
530330058014039,10,4039
530330058012005,10,2005
530330058014041,10,4041
