epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.4023,1.63389,2.68732,2.07282,0.52403,0.39522,0.29328,0.21352,0.94236,1.29245,1.95725,0.00332265,0.00332265,0.00332265
2,71.9037,1.09931,1.2757,1.78663,0.60201,0.41162,0.43189,0.33268,0.83047,0.99712,1.91105,0.00662304,0.00662304,0.00662304
3,101.433,0.99674,1.11021,1.71012,0.77495,0.45218,0.52673,0.4197,0.80771,0.90437,1.85949,0.00989042,0.00989042,0.00989042
4,130.369,0.97723,1.05974,1.68001,0.74922,0.50157,0.57225,0.46058,0.77965,0.82196,1.8251,0.0098515,0.0098515,0.0098515
5,159.625,0.94242,0.99969,1.64218,0.75108,0.51,0.5783,0.46975,0.7617,0.76715,1.75712,0.009802,0.009802,0.009802
6,189.09,0.91806,0.95889,1.63558,0.69121,0.55852,0.59555,0.48383,0.7396,0.75237,1.71532,0.0097525,0.0097525,0.0097525
7,218.209,0.89733,0.93573,1.60842,0.75628,0.55347,0.60695,0.49641,0.72685,0.71795,1.74384,0.009703,0.009703,0.009703
8,248.284,0.87463,0.90329,1.59519,0.68869,0.52028,0.5842,0.47568,0.74694,0.7717,1.7565,0.0096535,0.0096535,0.0096535
9,278.413,0.86141,0.89685,1.5929,0.75188,0.55081,0.6112,0.51106,0.70692,0.7101,1.69965,0.009604,0.009604,0.009604
10,309.109,0.84371,0.87441,1.57657,0.7104,0.62171,0.69224,0.5804,0.70172,0.68631,1.6977,0.0095545,0.0095545,0.0095545
11,339.612,0.83866,0.86141,1.57676,0.62303,0.58064,0.61435,0.51382,0.679,0.67212,1.68351,0.009505,0.009505,0.009505
12,368.335,0.83178,0.84618,1.55966,0.71255,0.55592,0.62557,0.5257,0.68415,0.68403,1.68456,0.0094555,0.0094555,0.0094555
13,396.968,0.82416,0.84391,1.56363,0.73172,0.65914,0.6901,0.58628,0.65717,0.65589,1.66932,0.009406,0.009406,0.009406
14,425.619,0.81249,0.81895,1.55402,0.73113,0.57486,0.63848,0.54483,0.67581,0.67251,1.69444,0.0093565,0.0093565,0.0093565
