epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.0323,1.71698,2.74711,2.12855,0.68704,0.26186,0.24509,0.17646,1.01947,1.40155,2.0425,0.00332265,0.00332265,0.00332265
2,68.5351,1.15441,1.32087,1.82185,0.72473,0.39937,0.4148,0.3169,0.85416,1.03574,1.92113,0.00662304,0.00662304,0.00662304
3,97.2783,1.03927,1.16359,1.74012,0.63367,0.43206,0.47927,0.37349,0.88825,0.94401,1.87408,0.00989042,0.00989042,0.00989042
4,125.083,1.02052,1.10556,1.70623,0.68999,0.47015,0.53716,0.42466,0.81548,0.84499,1.84599,0.0098515,0.0098515,0.0098515
5,152.786,0.98006,1.03323,1.66098,0.72584,0.52398,0.55256,0.44117,0.79553,0.81209,1.76358,0.009802,0.009802,0.009802
6,180.515,0.96307,1.00182,1.65476,0.69165,0.4846,0.56925,0.44996,0.80126,0.84225,1.81245,0.0097525,0.0097525,0.0097525
7,208.207,0.93242,0.9653,1.63357,0.71657,0.5304,0.58336,0.4706,0.75899,0.75152,1.7577,0.009703,0.009703,0.009703
8,236.833,0.9128,0.94128,1.61207,0.70179,0.54548,0.58455,0.47029,0.75523,0.76522,1.75127,0.0096535,0.0096535,0.0096535
9,265.006,0.89757,0.92712,1.61941,0.73269,0.57493,0.62685,0.51701,0.71806,0.71015,1.71721,0.009604,0.009604,0.009604
10,292.78,0.8881,0.91568,1.60951,0.77403,0.54844,0.651,0.52681,0.72592,0.7166,1.73269,0.0095545,0.0095545,0.0095545
11,320.517,0.87319,0.89404,1.60041,0.68328,0.57669,0.63287,0.51629,0.72548,0.72556,1.71708,0.009505,0.009505,0.009505
12,348.301,0.87495,0.88576,1.58494,0.74405,0.58615,0.63206,0.52275,0.71804,0.718,1.73011,0.0094555,0.0094555,0.0094555
13,376.022,0.86434,0.87849,1.58804,0.72167,0.54316,0.62235,0.51843,0.72109,0.7049,1.7174,0.009406,0.009406,0.009406
14,403.743,0.84429,0.84853,1.57506,0.72653,0.52886,0.59483,0.49385,0.71557,0.73338,1.71577,0.0093565,0.0093565,0.0093565
